n_traces,ntt_c_upper_3class,ntt_c_lower_m1_vs_rest,reduce32_z_RCoI_recall,poly_add_z_RCoI_recall,poly_chknorm_z_RCoI_recall
5,0.9970506889036644,0.9887706855791962,,,
10,0.9953688312647754,0.9917425060948584,,,
15,0.998215984227246,0.994273372857565,,,
20,0.9997062232195626,0.9975424331412528,,,
25,0.99991457963948,0.9992600749852246,,,
30,0.9996317689864066,0.9978806515957448,,,
40,0.9998043412012412,0.9975891834736998,,,
50,0.9999694102763002,0.9997339271202718,0.4237588652482269,0.4720744680851064,0.4970079787234042
75,0.9999936511894209,0.999601756427305,,,
100,0.9999971141770092,0.9998591718380614,0.6794104609929078,0.3183732269503546,0.4447030141843971
200,1.0,0.9999953826832152,0.84552304964539,0.747229609929078,0.6429521276595744
500,1.0,0.9999994228354018,0.9356161347517732,0.9488031914893618,0.8385416666666667
1000,1.0,1.0,0.9658687943262412,0.9524601063829788,0.9023714539007092
2000,1.0,1.0,0.9817154255319148,0.980718085106383,0.9330673758865248
5000,,,0.9820478723404256,0.9910239361702128,0.9457003546099292
10000,,,0.9933510638297872,0.9915780141843972,0.9496897163120568
20000,,,0.9946808510638298,0.9929078014184396,0.9605496453900708
30000,,,0.9983377659574468,0.9947916666666666,0.954122340425532
