trace_id,poly_l,coeff_i,k,z_pred_cls,z_pred_val,conf,z_conf,c_ok,z_ok,pair_ok
3,0,0,0,3,-131073,0,0.99949,True,True,True
4,0,0,0,0,131072,0,0.99992,True,True,True
8,0,0,0,0,131072,3,0.99989,True,True,True
12,0,0,0,0,131072,2,0.99877,True,True,True
23,0,1,1,3,-131073,2,0.99785,True,True,True
27,0,1,1,3,-131073,2,0.99594,True,True,True
34,0,1,1,2,-131072,2,0.99934,True,True,True
35,0,1,1,3,-131073,3,0.99992,True,True,True
42,0,1,1,2,-131072,3,0.9996,True,True,True
43,0,1,1,3,-131073,1,0.99996,True,True,True
50,0,1,1,2,-131072,1,0.99995,True,True,True
55,0,1,1,3,-131073,4,0.99992,True,True,True
57,0,2,2,1,131071,0,0.99646,True,True,True
64,0,1,1,0,131072,2,0.99994,True,True,True
73,0,2,2,1,131071,3,0.9987,True,True,True
79,0,2,2,3,-131073,4,0.99846,True,True,True
85,0,3,3,1,131071,2,0.99573,True,True,True
87,0,2,2,3,-131073,1,0.99979,True,True,True
91,0,2,2,3,-131073,2,0.99978,True,True,True
92,0,2,2,0,131072,2,0.99939,True,True,True
94,0,2,2,2,-131072,2,0.99685,True,True,True
95,0,2,2,3,-131073,2,0.99828,True,True,True
97,0,3,3,1,131071,1,0.99639,True,True,True
99,0,2,2,3,-131073,4,0.99975,True,True,True
104,0,2,2,0,131072,0,0.9997,True,True,True
114,0,3,3,2,-131072,2,0.99946,True,True,True
119,0,3,3,3,-131073,4,0.99976,True,True,True
126,0,4,4,2,-131072,4,0.9964,True,True,True
127,0,3,3,3,-131073,3,0.99865,True,True,True
128,0,3,3,0,131072,8,0.99984,True,True,True
130,0,4,4,2,-131072,1,0.99701,True,True,True
131,0,4,4,3,-131073,4,0.99908,True,True,True
140,0,3,3,0,131072,4,0.9999,True,True,True
141,0,4,4,1,131071,2,0.99403,True,True,True
142,0,4,4,2,-131072,2,0.9976,True,True,True
143,0,4,4,3,-131073,0,0.99808,True,True,True
144,0,3,3,0,131072,0,0.99977,True,True,True
147,0,4,4,3,-131073,3,0.99874,True,True,True
156,0,4,4,0,131072,0,0.99961,True,True,True
159,0,4,4,3,-131073,2,0.99978,True,True,True
160,0,4,4,0,131072,4,0.99984,True,True,True
161,0,5,5,1,131071,1,0.99339,True,True,True
165,0,5,5,1,131071,1,0.99808,True,True,True
171,0,4,4,3,-131073,0,0.999,True,True,True
174,0,6,6,2,-131072,2,0.99892,True,True,True
184,0,4,4,0,131072,2,0.998,True,True,True
